product_category_name,product_id,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,product_type
perfumaria,00066f42aeeb9f3007548bb9d3f33c38,53,596,6,300,20,16,16,perfumery,Non_Tech
automotivo,00088930e925c41fd95ebfe695fd2655,56,752,4,1225,55,10,26,auto,Non_Tech
cama_mesa_banho,0009406fd7479715e4bef61dd91f2462,50,266,2,300,45,15,35,bed_bath_table,Non_Tech
utilidades_domesticas,000b8f95fcb9e0096488278317764d19,25,364,3,550,19,24,12,housewares,Non_Tech
relogios_presentes,000d9be29b5207b54e86aa1b1ac54872,48,613,4,250,22,11,15,watches_gifts,Non_Tech
automotivo,0011c512eb256aa0dbbb544d8dffcf6e,58,177,1,100,16,15,16,auto,Non_Tech
cool_stuff,00126f27c813603687e6ce486d909d01,42,2461,1,700,25,5,15,cool_stuff,Non_Tech
consoles_games,001795ec6f1b187d37335e1c4704762e,53,274,1,600,30,20,20,consoles_games,Tech
cama_mesa_banho,001b237c0e9bb435f2e54071129237e9,42,253,1,6000,40,4,30,bed_bath_table,Non_Tech
moveis_decoracao,001b72dfd63e9833e8c02742adf472e3,45,520,3,600,26,8,22,furniture_decor,Non_Tech
cama_mesa_banho,001c5d71ac6ad696d22315953758fa04,50,381,1,1800,47,21,41,bed_bath_table,Non_Tech
beleza_saude,00210e41887c2a8ef9f791ebc780cc36,56,3893,6,300,30,15,15,health_beauty,Non_Tech
fashion_calcados,002159fe700ed3521f46cfcf6e941c76,55,344,3,1850,36,37,16,fashion_shoes,Non_Tech
informatica_acessorios,0021a87d4997a48b6cef1665602be0f5,58,946,6,650,25,10,15,computers_accessories,Non_Tech
utilidades_domesticas,00250175f79f584c14ab5cecd80553cd,53,631,2,750,30,5,35,housewares,Non_Tech
cool_stuff,002552c0663708129c0019cc97552d7d,18,263,1,355,22,16,12,cool_stuff,Non_Tech
moveis_decoracao,002959d7a0b0990fe2d69988affcbc80,54,1750,3,2600,105,3,70,furniture_decor,Non_Tech
cool_stuff,002af88741ba70c7b5cf4e4a0ad7ef85,44,629,3,600,40,30,40,cool_stuff,Non_Tech
brinquedos,002c6dab60557c48cfd6c2222ef7fd76,43,112,5,350,45,30,30,toys,Non_Tech
pet_shop,002d4ea7c04739c130bb74d7e7cd1694,59,1295,1,200,20,11,11,pet_shop,Non_Tech
utilidades_domesticas,002ec297b1b00fb9dde7ee6ac24b6771,36,707,3,150,20,10,15,housewares,Non_Tech
esporte_lazer,0030026a6ddb3b2d1d4bc225b4b4c4da,28,502,4,800,25,25,25,sports_leisure,Non_Tech
ferramentas_jardim,0030e635639c898b323826589761cf23,40,437,1,1550,26,6,20,garden_tools,Non_Tech
esporte_lazer,003128f981470c3e5a2e7445e4a771cd,59,1100,6,1550,16,10,16,sports_leisure,Non_Tech
ferramentas_jardim,0036bb031e69d915cd384d1b3838b5d3,53,866,3,200,18,5,13,garden_tools,Non_Tech
moveis_sala,003938452c98ff9ab28e9e7b4bfe97ab,52,420,2,5050,50,8,50,furniture_living_room,Non_Tech
malas_acessorios,003962cb74a8b43cf1034fed541a76f0,55,214,1,1000,16,46,36,luggage_accessories,Non_Tech
casa_construcao,003a31970fea14fffe92ac856b8a9b97,55,900,4,1850,45,12,45,home_construction,Non_Tech
